genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
FEMALE,33,"Millennials Jóvenes","387 - Luna",560
FEMALE,25,"Millennials Jóvenes","177 -PLANETARIO",957
FEMALE,25,"Millennials Jóvenes","166 - Cementerio de Recoleta",751
MALE,32,"Millennials Jóvenes","177 -PLANETARIO",973
MALE,32,"Millennials Jóvenes","166 - Cementerio de Recoleta",765
FEMALE,28,"Millennials Jóvenes","390 - De Los Ombues",2240
FEMALE,28,"Millennials Jóvenes","390 - De Los Ombues",1476
FEMALE,28,"Millennials Jóvenes","290 - Club Excursionistas",1174
MALE,27,"Millennials Jóvenes","390 - De Los Ombues",1004
MALE,27,"Millennials Jóvenes","128 - PARQUE DEL BAJO",2314
OTHER,30,"Millennials Jóvenes","074 - INSTITUTO LELOIR",827
OTHER,30,"Millennials Jóvenes","070 - ARAOZ",860
FEMALE,33,"Millennials Jóvenes","364 - CERRETTI Y MANUELA PEDRAZA",820
FEMALE,31,"Millennials Jóvenes","014 - Pacifico",410
FEMALE,31,"Millennials Jóvenes","256 - PLAZA NORUEGA",551
FEMALE,31,"Millennials Jóvenes","235 - COMUNA 13",1643
FEMALE,31,"Millennials Jóvenes","014 - Pacifico",1428
FEMALE,31,"Millennials Jóvenes","235 - COMUNA 13",808
FEMALE,31,"Millennials Jóvenes","256 - PLAZA NORUEGA",600
FEMALE,31,"Millennials Jóvenes","249 - Balbín",444
FEMALE,31,"Millennials Jóvenes","249 - Balbín",64
FEMALE,31,"Millennials Jóvenes","239 - AVENIDA CRAMER",220
FEMALE,31,"Millennials Jóvenes","239 - AVENIDA CRAMER",243
FEMALE,31,"Millennials Jóvenes","235 - COMUNA 13",734
FEMALE,31,"Millennials Jóvenes","249 - Balbín",405
MALE,32,"Millennials Jóvenes","259 - PLAZA CASTELLI",1422
MALE,32,"Millennials Jóvenes","390 - De Los Ombues",2116
MALE,32,"Millennials Jóvenes","240 - ECHEVERRIA",1175
